Question,Option 1,Option 2,Option 3,Option 4,Option 5,Current Answer,Explanation,Categories,Type,Attachments,Points,Hint 1
What is the name of the following painting by Norwegian artist Edvard Munch?,,,,,,The Scream,,Arts & Literature,Single Choice w/ Media,https://img.buzzfeed.com/buzzfeed-static/static/2024-10/12/4/asset/7c57ab7c6338/sub-buzz-3519-1728705769-1.jpg?downsize=600:*&output-format=auto&output-quality=auto,2,
What do clouds consist of? ,liquid droplets,smoke,cotton candy,ozone,,Liquid Droplets,,Biology,Multiple Choice,,2,
Which is a part of a camera?,Ablative,Objective,Initiative,Narrative,,Objective,,General Science,Multiple Choice,,2,
What country is located immediately north of Vietnam? ,Laos,Malaysia,Burma,China,,China,,Geography,Multiple Choice,,2,
What is the boundary between two tectonic plates where they are moving away from each other called?,Convergent boundary,Transform boundary,Divergent boundary,Subduction boundary,,Divergent Boundary,"At divergent plate boundaries, tectonic plates pull apart from each other, a process that frequently forms mid-ocean ridges and rift valleys.",Geology,Multiple Choice,,2,
What is the estimated age of the Earth based on radiometric dating?,4.6 billion years,2.5 billion years,541 million years,13.8 billion years,,4.6 billion years,"Radiometric dating of Earth's oldest rocks, lunar samples, and meteorites indicates that the Earth formed approximately 4.6 billion years",Geology,Multiple Choice,,2,
How thick is the crust of the Earth?,about 4 miles,about 4 km,about 40 km,about 400 km,,about 40 km,"According to geological data provided by sources like National Geographic and Britannica, the Earth's continental crust has a mean thickness of about 40 kilometers (approximately 25 miles). While the exact thickness of the crust varies considerably depending on the location, 40 km serves as a highly accurate baseline representation for the landmasses we live on.",Geology,Multiple Choice,,2,
The terms crust and lithosphere are synonymous.,TRUE,FALSE,,,,FALSE,"The crust refers specifically to Earth's outermost chemical layer. The lithosphere is a mechanical layer that includes both the entire crust and the solid, rigid uppermost part of the mantle.",Geology,Multiple Choice,,2,
What did Alfred Nobel invent? ,Dynamite,computers,helicopter,,,Dynamite,,History,Multiple Choice,,2,
Which European is credited with discovering America? ,Polo,Pizarro,Vespucci,Columbus,,Columbus,,History,Multiple Choice,,2,
Edo is the former name of which world capital? ,Bangkok,Beijing,Sydney,Tokyo,,Tokyo,,"History, Geography",Multiple Choice,,2,
Which of the following is NOT an official language of Switzerland?,German, Italian,Spanish,,,Spanish,,Language,Multiple Choice,,2,
"Wedding and relationships anniversary milestone labels are often called Anniversary Themes, Gift Years, or Anniversary Seals/Stickers. What is the traditional theme for the 5th year? ",Tin/Aluminum,Crystal,Gold,Wood,,5th: Wood,,Language,Multiple Choice,,2,
Magyar is the main language spoken in which country?,Hungary,Poland,Norway,Malaysia,,Hungary,,Language,Multiple Choice,,2,
"Which word is a verb in the following sentence? Although she was tired, Maria ran the entire marathon.", Although, tired, entire, ran,,ran ,Ran is the action she performed.,Language,Multiple Choice,,2,
Which word is an adjective in the following sentence? The clever detective quickly found the hidden clues., detective, cleverly, clever, quickly,,clever ,"Clever describes the noun, ""detective"".",Language,Multiple Choice,,2,
Which word acts as an adverb in the following sentence? He spoke loudly during the presentation., He, spoke, loudly, during,,loudly ,"Loudly describes how he ""spoke"".",Language,Multiple Choice,,2,
Choose the correct preposition for a date in Canada:,"I will arrive on Monday, February 1st.","I will arrive on Monday, in February 1st.","I will arrive on Monday, at February 1st.","I will arrive on Monday, on February 1st.",,"I will arrive on Monday, February 1st.",The standard format for writing out a full date is Month + Day,Language,Multiple Choice,,2,
Which sentence is punctuated correctly?,"""I need to buy milk, bread and eggs,"" she said.","""I need to buy milk, bread, and eggs"" she said.","""I need to buy milk, bread, and eggs,"" she said.","""I need to buy milk, bread and eggs"" she said,",,"""I need to buy milk, bread, and eggs,"" she said.","Commas and periods go inside the quotation marks, and a comma separates the quote from the dialogue tag",Language,Multiple Choice,,2,
The -re/-er Rule. Which of the following sentences uses the correct Canadian spelling?, We are going to see a play at the new theater.,I need to buy a new meter for my electricity.,She works as a fibre optic technician.,The firemen arrived to put out the flame.,,She works as a fibre optic technician.,"Canadian English retains the British ""-re"" ending for words like fibre and centre,",Language,Multiple Choice,,2,
Which of the following is the defining characteristic of a true acronym?," It is formed by taking the first letters of a phrase and pronouncing it as a single word (e.g., NAS"," It is formed by speaking the individual letters out loud (e.g., FBI)."," It is a shortened form of a word or phrase, regardless of how it is pronounced.", It must contain at least five syllables.,," It is formed by taking the first letters of a phrase and pronouncing it as a single word (e.g., NASA"")","True acronyms are pronounced as a single word, unlike initialisms.",Language,Multiple Choice,,2,
"While ""FBI"" is spoken as individual letters (F-B-I), ""NASA"" is pronounced as one word. What is the linguistic term for an abbreviation like FBI?", Acronym, Initialism, Contraction, Portmanteau,,Initialism,Initialisms are abbreviations where you say each letter.,Language,Multiple Choice,,2,
"The word ""etc."" is a shortened form of the Latin phrase et cetera. Which category does it fall under?", Acronym, Initialism, Abbreviation, Blend,,Abbreviation,"It is a shortened written form, not pronounced as a new word or spelled out letter-by-letter.",Language,Multiple Choice,,2,
"Why is the line between acronyms and initialisms sometimes considered ""blurry""?", Because linguists cannot agree on their definitions.," Because some terms are spoken both as individual letters and as a single word depending on the speaker (e.g., GIF or SQL).", Because both terms refer to combinations of two or more independent words., Because initialisms are always longer than acronyms.,,"Because some terms are spoken both as individual letters and as a single word depending on the speaker (e.g., GIF or SQL). ",The pronunciation of terms like GIF or SQL often sparks debate on whether they should be categorized as initialisms or acronyms.),Language,Multiple Choice,,2,
"What term is used for a blend of two words that is also shortened (e.g., smog from smoke and fog, or motel from motor and hotel)?", Initialism, Acronym, Clipping, Portmanteau,,Portmanteau,Portmanteaus blend the sounds and meanings of two distinct words.,Language,Multiple Choice,,2,
 Which value is measured in ohms?,Voltage,Amperage,Resistance,Capacitance,,Resistance,,Physics,Multiple Choice,,2,
What is measured in watts?, Volume,power,density, radioactivity,,power,,"Physics, General Science",Multiple Choice,,2,
Which part of the UK held a 2014 referendum on independence? ,Wales,Scotland,Northern Ireland,Yorkshire,,Scotland,,Politics/Laws,Multiple Choice,,2,
What is the Magna Carta? ,Bill that makes it mandatory to put signs in only French,A breach of contract in which the injured party seeks compensation,The charter that limited the King’s ruling power and made all rulers subject to the law,"Laws developed by Napoleon Bonaparte from Justinian Law, a Statue",,The charter that limited the King’s ruling power and made all rulers subject to the law,,Politics/Laws,Multiple Choice,,2,
"When was the Charter of Rights and Freedoms signed? 
",3800 years ago,1984,1982,2001,,1984,,Politics/Laws,Multiple Choice,,2,
"This area of civil law is all about ""actionable wrongs."" It deals with holding people financially accountable when their careless actions—or intentional bad behavior—cause harm to others, without needing an actual contract to be in place. What is this law called?",,,,,,Tort Law,,Politics/Laws,Multiple Choice,,2,
"What is the definition of entrenched? 
",A provision making a law valid even though it contradicts some other law,Putting off to another time,Wrongfully accusing an innocent person,A right that can only be changed by an amendment to the Constitution,Not telling the truth while in court,A right that can only be changed by an amendment to the Constitution,,Politics/Laws,Multiple Choice,,2,
What is the most holy city of the Hindus? ,Madras,Calcutta,Allahabad,Varanasi,,Varansi,,Religion & Mythology,Multiple Choice,,2,
Which planet in our solar system has the most moons?, Jupiter, Saturn, Uranus, Neptune ,,Saturn,Saturn currently holds the record with 146 known moons,Space,Multiple Choice,,2,
Which planet in our solar system is the hottest?, Mercury, Venus, Mars, Jupiter,,Venus,"Thanks to its thick, heat-trapping atmosphere, Venus is hotter than Mercury",Space,Multiple Choice,,2,
How long does it take for light from our Sun to reach Earth?, About 8 minutes, Exactly 24 hours, 3 days, 1 year,, About 8 minutes,"Light travels incredibly fast, making the roughly 93 million-mile journey in about 8 minutes and 20 seconds",Space,Multiple Choice,,2,
What is the core definition of data sovereignty?,The physical location where data is stored.,The legal authority a country has over data generated and stored within its borders., The right of a corporation to own user data.,The encryption of data during transit.,,The legal authority a country has over data generated and stored within its borders.," Data sovereignty refers to the legal jurisdiction and control a government has over digital data, meaning the data must comply with the laws of the country where it resides.",Technology,Multiple Choice,,2,
Which British computer scientist is credited with inventing the World Wide Web in 1989? ,Bill Gates ,Tim Berners-Lee ,Steve Jobs ,Alan Turing,,Tim Berners-lee,,Technology,Multiple Choice,,2,
Which has the thickest fur of any mammal?,,,,,,Sea Otter,,Animal,Single Choice,,2,
A newborn kangaroo is about the size of a … ?,,,,,,Grape,,Animal,Single Choice,,2,
What land animal has the most powerful bite?,,,,,,Hippopotamus,,Animal,Single Choice,,2,
Where is the only place on their body dogs have sweat glands?,,,,,,The pads of their paws,,Animal,Single Choice,,2,
What is a male duck called?,,,,,,Drake,,Animal,Single Choice,,2,
What is a baby hedgehog called?,,,,,,Hoglet,,Animal,Single Choice,,2,
What percentage of baby animals are raised by both parents?,,,,,,3%,,Animal,Single Choice,,2,
How many legs does a lobster have?,,,,,,10,,Animal,Single Choice,,2,
What is a polar bear’s skin color?,,,,,,Black,,Animal,Single Choice,,2,
What is a female donkey called?,,,,,,Jenny,,Animal,Single Choice,,2,
What is the only big cat that doesn’t roar?,,,,,,Cheetah,,Animal,Single Choice,,2,
How many heart chambers does a cockroach have?,,,,,,13,,Animal,Single Choice,,2,
What does a snake use to taste and smell?,,,,,,The roof of its mouth,,Animal,Single Choice,,2,
What is the main reason frogs croak?,,,,,,To attract a mate,,Animal,Single Choice,,2,
What is the process of a caterpillar turning into a butterfly called?,,,,,,Metamorphosis,,"Animal, Biology",Single Choice,,2,
What is a baby goat called?,,,,,,Kid,,"Animal, Biology, Language",Single Choice,,2,
What is a group of crows called?,,,,,,Murder,,"Animal, Biology, Language",Single Choice,,2,
"Mark Twain is the pseudonym of what famous American author who wrote ""The Adventures of Huckleberry Finn""?",,,,,,Samuel Clemens,,Arts & Literature,Single Choice,,2,
Canucks is a slang name for people from which country?,,,,,,Canada,,Arts & Literature,Single Choice,,2,
Which present day female actor share the name of William Shakespeare's wife? ,,,,,,Anne Hathaway,,Arts & Literature,Single Choice,,2,
Which famous painter could write with one hand and draw with the other at the same time?,,,,,,Leonardo da Vinci,,Arts & Literature,Single Choice,,2,
What type of tree do acorns come from?,,,,,,Oak tree,,Biology,Single Choice,,2,
What is the powerhouse of the cell?,,,,,,"The mitochondria is known as the powerhouse of the cell. These microscopic, double-membraned organelles act as the cell's engines by converting the food we eat into adenosine triphosphate (ATP)—the chemical energy currency that powers our heartbeat, muscle movements, and brain function",,Biology,Single Choice,,2,
What is the material in cells that contains DNA and carries genetic information?,,,,,,Chromatin,,Biology,Single Choice,,2,
What is the protein-making sites of the cell. Often attached to the endoplasmic reticulum.,,,,,,Ribosomes,,Biology,Single Choice,,2,
What is the chemical element for the symbol K?,,,,,,potassium,,Chemistry,Single Choice,,2,
What is the chemical element for the symbol Ag?,,,,,,Silver,,Chemistry,Single Choice,,2,
What do you call a scientist that studies weather?,,,,,,Meteorologist,,General Science,Single Choice,,2,
What gas do plants absorb from the atmosphere?,,,,,,Carbon dioxide,,"General Science, Chemistry, Biology, Space",Single Choice,,2,
Bern is the capital of what European country?,,,,,,Switzerland,,Geography,Single Choice,,2,
How many Great Lakes are there?,,,,,,Five,,Geography,Single Choice,,2,
What are the Great Lakes?,,,,,,"A helpful way to remember their names is the acronym HOMES.H - Lake Huron: The second largest by surface area and the lake with the longest shoreline.O - Lake Ontario: The easternmost and smallest by surface area. M - Lake Michigan: The third largest and the only Great Lake located entirely within the United States. E - Lake Erie: The shallowest and warmest of the lakes, making it a major hub for boating and fishing. S - Lake Superior: The largest, deepest, and coldest of the five. Its massive volume contains more water than all the other four lakes combined",,Geography,Single Choice,,2,
Which country has the longest coastline?,,,,,,"Canada, due to the number of northen island",,"Geography, Geology",Single Choice,,2,
What is limestone formed by?,,,,,,Crushed shells or coral.,,Geology,Single Choice,,2,
When was the first seismograph invented?​​​​​​​,,,,,,Approximately A.D. 200 in China.,,"Geology, History",Single Choice,,2,
What does AM in AM/PM stand for?,,,,,,"AM stands for the Latin phrase ante meridiem, which means ""before midday"" (covering midnight to just before noon). ",,Language,Single Choice,,2,
What does PM in AM/PM stand for?,,,,,,"PM stands for post meridiem, meaning ""after midday"" (covering noon to just before midnight)",,Language,Single Choice,,2,
What does AD in AD/BCE stand for?,,,,,,"AD stands for Anno Domini, Latin for ""in the year of our Lord"". It marks the years after the estimated birth of Jesus Christ.",,Language,Single Choice,,2,
What does BCE in AD/BCE stand for?,,,,,,"BCE stands for ""Before Common Era."" It refers to the years before the start of the calendar, acting as a secular alternative to BC (""Before Christ""). ",,Language,Single Choice,,2,
"A word, phrase or sequence that reads the same forward and backward is called what?",,,,,,A palindrome,,Language,Single Choice,,2,
What is the numeric value of the Roman numeral L?,,,,,,50,,Math/Numbers,Single Choice,,2,
What is the sum of 11.5 and negative 14?,,,,,,-2.5,,Math/Numbers,Single Choice,,2,
"What does ""mythical refresh pull"" mean?",,,,,,"(often called a ""mythical FYP pull"" or ""reel pull"") is a slang term used on TikTok and Instagram. It describes the feeling of dragging your screen to refresh your feed and being rewarded with an oddly captivating, hilarious, or perfectly hyper-specific video you absolutely love.",,Meme/Trends,Single Choice,,2,
"What does ""mogging"" mean?",,,,,,"is Gen Z and Gen Alpha slang that means to dominate, outshine, or outperform someone else. It is most commonly used to describe someone who looks physically or aesthetically superior to another person (e.g., being better-looking, taller, or more muscular)",,Meme/Trends,Single Choice,,2,
What planet is closest to the sun?,,,,,,Mercury,,Space,Single Choice,,2,
What does AM in AM/FM stand for?,,,,,,AM stands for Amplitude Modulation.,,"Technology, Language",Single Choice,,2,
What does FM in AM/FM stand for?,,,,,,FM stands for Frequency Modulation.,,"Technology, Language",Single Choice,,2,
True or False: Crawfish are fish.,,,,,,FALSE,They are crustaceans.,Biology,True or False,,2,
"True or False, tsunami and a tidal wave are the same thing?​​​​​​​",TRUE,FALSE,,,,FALSE,No. Tsunamis are caused by water displacement as a result of an undersea earthquake or a landslide. Tidal waves are caused by the moon & Sun's gravitational pull combined with prevailing winds and water currents.,"Geography, Geology",True or False,,2,
True or false? Light is the only thing that can escape a black hole.,TRUE,FALSE,,,,FALSE,,Space,True or False,,2,